2026-09-10T00:46:28.831718+00:00 raydio-vnic systemd[1]: Stopping raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot...
2026-09-10T00:46:28.976266+00:00 raydio-vnic systemd[1]: raydio-isolated-six-hour.service: Deactivated successfully.
2026-09-10T00:46:28.976649+00:00 raydio-vnic systemd[1]: Stopped raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot.
2026-09-10T00:46:28.977001+00:00 raydio-vnic systemd[1]: raydio-isolated-six-hour.service: Consumed 15min 33.894s CPU time, 15.9M memory peak, 0B memory swap peak.
2026-09-10T00:46:30.206853+00:00 raydio-vnic systemd[1]: Starting raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot...
2026-09-10T00:46:32.705265+00:00 raydio-vnic raydio[8167]: 2026-09-10T00:46:32.705214Z  INFO raydio::runtime: Raydio ready bot_id=1544468432907669644
2026-09-10T00:46:32.705958+00:00 raydio-vnic systemd[1]: Started raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot.
2026-09-10T01:00:17.860686+00:00 raydio-vnic raydio[8167]: 2026-09-10T01:00:17.860637Z  INFO raydio::session: track started generation=1
2026-09-10T01:01:17.934782+00:00 raydio-vnic raydio[8167]: 2026-09-10T01:01:17.934703Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(1), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 3015, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 3, send_failures: 0, source_overruns: 0, max_lateness: 39.984364ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-10T01:02:17.935321+00:00 raydio-vnic raydio[8167]: 2026-09-10T01:02:17.935173Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(1), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 6015, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 3, send_failures: 0, source_overruns: 0, max_lateness: 39.984364ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-10T01:03:17.934950+00:00 raydio-vnic raydio[8167]: 2026-09-10T01:03:17.934886Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(1), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 9015, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 3, send_failures: 0, source_overruns: 0, max_lateness: 39.984364ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-10T01:03:50.693186+00:00 raydio-vnic raydio[8167]: 2026-09-10T01:03:50.693147Z  INFO raydio::session: track finished generation=1 position_ms=212320
2026-09-10T01:03:50.695407+00:00 raydio-vnic raydio[8167]: 2026-09-10T01:03:50.695194Z  INFO raydio::session: track started generation=2
2026-09-10T01:04:17.934803+00:00 raydio-vnic raydio[8167]: 2026-09-10T01:04:17.934746Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 12015, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 3, send_failures: 0, source_overruns: 0, max_lateness: 39.984364ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-10T01:05:17.934467+00:00 raydio-vnic raydio[8167]: 2026-09-10T01:05:17.934415Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 15015, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 3, send_failures: 0, source_overruns: 0, max_lateness: 39.984364ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-10T01:06:17.934993+00:00 raydio-vnic raydio[8167]: 2026-09-10T01:06:17.934926Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 18015, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 3, send_failures: 0, source_overruns: 0, max_lateness: 39.984364ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
