2026-09-09T08:31:06.140492+00:00 raydio-vnic systemd[1]: Starting raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot...
2026-09-09T08:31:08.613810+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:31:08.613740Z  INFO raydio::runtime: Raydio ready bot_id=1544468432907669644
2026-09-09T08:31:08.614053+00:00 raydio-vnic systemd[1]: Started raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot.
2026-09-09T08:34:24.320141+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:34:24.320093Z  INFO raydio::session: track started generation=1
2026-09-09T08:35:23.803348+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:35:23.803260Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(1), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 2984, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 6, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:36:23.803649+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:36:23.803576Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(1), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 5982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:37:23.802725+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:37:23.802651Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(1), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 8982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:37:57.213471+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:37:57.213396Z  INFO raydio::session: track finished generation=1 position_ms=212660
2026-09-09T08:37:57.215861+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:37:57.215794Z  INFO raydio::session: track started generation=2
2026-09-09T08:38:23.802944+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:38:23.802829Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 11982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:39:23.802791+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:39:23.802726Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 14982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:40:23.803034+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:40:23.802833Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 17982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:41:23.803518+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:41:23.803390Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 20982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:41:30.273731+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:41:30.273669Z  INFO raydio::session: track finished generation=2 position_ms=212600
2026-09-09T08:41:30.275978+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:41:30.275515Z  INFO raydio::session: track started generation=3
2026-09-09T08:42:23.802756+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:42:23.802689Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(3), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 23982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:43:23.803657+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:43:23.803591Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(3), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 26982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:44:23.803959+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:44:23.803644Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(3), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 29982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:45:03.333655+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:45:03.333611Z  INFO raydio::session: track finished generation=3 position_ms=212540
2026-09-09T08:45:03.335177+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:45:03.335155Z  INFO raydio::session: track started generation=4
2026-09-09T08:45:23.803430+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:45:23.803363Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(4), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 32982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
