2026-09-10T17:23:57.401565+00:00 raydio-vnic systemd[1]: Stopping raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot...
2026-09-10T17:23:57.527263+00:00 raydio-vnic systemd[1]: raydio-isolated-six-hour.service: Deactivated successfully.
2026-09-10T17:23:57.527618+00:00 raydio-vnic systemd[1]: Stopped raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot.
2026-09-10T17:23:57.538066+00:00 raydio-vnic systemd[1]: Starting raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot...
2026-09-10T17:24:00.125962+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:24:00.125903Z  INFO raydio::runtime: Raydio ready bot_id=1544468432907669644
2026-09-10T17:24:00.126475+00:00 raydio-vnic systemd[1]: Started raydio-isolated-six-hour.service - Raydio isolated six-hour diagnostic Testbot.
2026-09-10T17:25:30.580390+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:25:30.580337Z  INFO crust_oto_adapter: DAVE lifecycle transition connection_generation=1 opcode=29 before=DaveContext { active_version: 0, transition_pending: false, ready: false } after=DaveContext { active_version: 1, transition_pending: false, ready: true }
2026-09-10T17:25:31.467109+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:25:31.467060Z  INFO raydio::session: track started generation=1
2026-09-10T17:26:31.195056+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:26:31.194988Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(1), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 2986, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 10, send_failures: 0, source_overruns: 0, max_lateness: 60.159834ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 7, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.477787ms, last_active_send_gap_unix_ms: 1789061169392 } })
2026-09-10T17:27:31.195445+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:27:31.195376Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(1), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 5986, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 10, send_failures: 0, source_overruns: 0, max_lateness: 60.159834ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 7, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.477787ms, last_active_send_gap_unix_ms: 1789061169392 } })
2026-09-10T17:28:31.195111+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:28:31.195041Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(1), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 8986, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 10, send_failures: 0, source_overruns: 0, max_lateness: 60.159834ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 7, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.477787ms, last_active_send_gap_unix_ms: 1789061169392 } })
2026-09-10T17:29:04.532988+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:29:04.532897Z  INFO raydio::session: track finished generation=1 position_ms=212740
2026-09-10T17:29:04.534595+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:29:04.534474Z  INFO raydio::session: track started generation=2
2026-09-10T17:29:31.194909+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:29:31.194853Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 11986, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 10, send_failures: 0, source_overruns: 0, max_lateness: 60.159834ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 7, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.477787ms, last_active_send_gap_unix_ms: 1789061169392 } })
2026-09-10T17:30:31.194750+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:30:31.194682Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 14978, silence_frames_sent: 0, frames_unavailable: 0, skipped_deadlines: 14, send_failures: 0, source_overruns: 0, max_lateness: 60.159834ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 10, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 57.227942ms, last_active_send_gap_unix_ms: 1789061392092 } })
